Date,Customer ID,Food Quality,Service Quality,Hygiene,Value for Money,Overall Satisfaction,Comments,NPS Score
2023-11-11,CUST066,4,3,4,4,Satisfied,Good food and clean place,7
2023-11-10,CUST067,2,2,2,3,Dissatisfied,Poor food quality and service,3
2023-11-09,CUST068,5,5,5,4,Highly Satisfied,Exceptional dining experience!,9
2023-11-08,CUST069,4,5,4,5,Satisfied,Great value for money,8
2023-11-07,CUST070,3,3,4,3,Neutral,Clean but food could be better,6
2023-11-06,CUST071,4,4,4,4,Satisfied,Solid performance across board,7
2023-11-05,CUST072,1,2,1,2,Highly Dissatisfied,Poor hygiene and terrible food,1
2023-11-04,CUST073,5,4,5,4,Highly Satisfied,Amazing food and atmosphere!,9
2023-11-03,CUST074,4,4,4,4,Satisfied,Good quality and service,7
2023-11-02,CUST075,3,3,3,4,Neutral,Average experience overall,5
2023-11-01,CUST076,4,5,4,4,Satisfied,Excellent service quality,8
2023-10-31,CUST077,2,2,3,2,Dissatisfied,Halloween dinner was disappointing,3
2023-10-30,CUST078,5,5,5,5,Highly Satisfied,Perfect Halloween celebration!,10
2023-10-29,CUST079,4,4,4,3,Satisfied,Good food but expensive,7
2023-10-28,CUST080,3,4,3,4,Neutral,Service good but food average,6
2023-10-27,CUST081,4,3,4,4,Satisfied,Clean and good quality,7
2023-10-26,CUST082,1,1,2,1,Highly Dissatisfied,Unacceptable in all aspects,0
2023-10-25,CUST083,5,4,5,4,Highly Satisfied,Outstanding food quality!,9
2023-10-24,CUST084,4,5,4,4,Satisfied,Excellent staff and service,8
2023-10-23,CUST085,3,2,3,3,Neutral,Food okay but service slow,5
2023-10-22,CUST086,4,4,5,4,Satisfied,Very clean and good food,8
2023-10-21,CUST087,2,3,2,2,Dissatisfied,Food quality below average,3
2023-10-20,CUST088,5,5,4,5,Highly Satisfied,Amazing experience and value!,10
2023-10-19,CUST089,4,4,4,4,Satisfied,Consistent good quality,7
2023-10-18,CUST090,3,3,3,3,Neutral,Nothing special but acceptable,5
2023-10-17,CUST091,4,4,4,3,Satisfied,Good food but pricey,7
2023-10-16,CUST092,1,2,1,1,Highly Dissatisfied,Terrible experience overall,1
2023-10-15,CUST093,5,5,5,4,Highly Satisfied,Excellent in every aspect!,9
2023-10-14,CUST094,4,4,4,5,Satisfied,Great value for money,8
2023-10-13,CUST095,3,4,3,4,Neutral,Good service average food,6
2023-10-12,CUST096,4,3,4,4,Satisfied,Good overall experience,7
2023-10-11,CUST097,2,2,2,2,Dissatisfied,All aspects need improvement,2
2023-10-10,CUST098,5,4,5,4,Highly Satisfied,Wonderful dining experience!,9
2023-10-09,CUST099,4,5,4,4,Satisfied,Excellent customer service,8
2023-10-08,CUST100,3,3,4,3,Neutral,Clean but food was just okay,6 
